mOTU2.0_cluster	mOTU2.0_cluster_name	mOTU2.0_cluster_id	Anaerobic	Aerotolerant	Facultative_aerobic	Microaerophilic	Aerobic
Acidimicrobium ferrooxidans [ref_mOTU_v2_4432]	Acidimicrobium ferrooxidans 	ref_mOTU_v2_4432	1	0	0	0	0
Acidiphilium angustum [ref_mOTU_v2_3298]	Acidiphilium angustum 	ref_mOTU_v2_3298	0	0	0	0	1
Acidiphilium cryptum/multivorum [ref_mOTU_v2_1231]	Acidiphilium cryptum/multivorum 	ref_mOTU_v2_1231	0	0	0	0	1
Acidiphilium sp. CAG:727 [meta_mOTU_v2_7289]	Acidiphilium sp. CAG:727 	meta_mOTU_v2_7289	#N/A	#N/A	#N/A	#N/A	#N/A
Acidiphilium sp. CAG:727 [meta_mOTU_v2_7352]	Acidiphilium sp. CAG:727 	meta_mOTU_v2_7352	#N/A	#N/A	#N/A	#N/A	#N/A
Acidiphilium sp. CAG:727 [meta_mOTU_v2_7554]	Acidiphilium sp. CAG:727 	meta_mOTU_v2_7554	#N/A	#N/A	#N/A	#N/A	#N/A
Acidiphilium sp. CAG:727 [meta_mOTU_v2_7631]	Acidiphilium sp. CAG:727 	meta_mOTU_v2_7631	#N/A	#N/A	#N/A	#N/A	#N/A
Acidithiobacillus caldus [ref_mOTU_v2_1464]	Acidithiobacillus caldus 	ref_mOTU_v2_1464	0	0	0	0	0
Acidithiobacillus ferrivorans [ref_mOTU_v2_1279]	Acidithiobacillus ferrivorans 	ref_mOTU_v2_1279	0	0	0	0	0
Acidithiobacillus ferrooxidans [ref_mOTU_v2_1304]	Acidithiobacillus ferrooxidans 	ref_mOTU_v2_1304	0	0	1	0	0
Acidithiobacillus thiooxidans [ref_mOTU_v2_1173]	Acidithiobacillus thiooxidans 	ref_mOTU_v2_1173	0	0	0	0	1
Acidobacteria sp. [ref_mOTU_v2_4662]	Acidobacteria sp. 	ref_mOTU_v2_4662	0	0	0	0	0
Acidobacteriaceae sp. [ref_mOTU_v2_2833]	Acidobacteriaceae sp. 	ref_mOTU_v2_2833	0	0	0	0	0
Acidobacteriaceae sp. [ref_mOTU_v2_2834]	Acidobacteriaceae sp. 	ref_mOTU_v2_2834	0	0	0	0	0
Acidobacteriaceae sp. [ref_mOTU_v2_2835]	Acidobacteriaceae sp. 	ref_mOTU_v2_2835	0	0	0	0	0
Acidobacteriaceae sp. [ref_mOTU_v2_3879]	Acidobacteriaceae sp. 	ref_mOTU_v2_3879	0	0	0	0	0
Acidobacterium capsulatum [ref_mOTU_v2_3812]	Acidobacterium capsulatum 	ref_mOTU_v2_3812	0	0	0	0	1
Acidobacterium sp. PMMR2 [ref_mOTU_v2_3192]	Acidobacterium sp. PMMR2 	ref_mOTU_v2_3192	0	0	0	0	0
Acidocella facilis [ref_mOTU_v2_3299]	Acidocella facilis 	ref_mOTU_v2_3299	0	0	0	0	1
Acidothermus cellulolyticus [ref_mOTU_v2_4063]	Acidothermus cellulolyticus 	ref_mOTU_v2_4063	0	0	0	0	1
Acidovorax avenae/citrulli/oryzae [ref_mOTU_v2_1147]	Acidovorax avenae/citrulli/oryzae 	ref_mOTU_v2_1147	0	0	0	0	1
Acidovorax ebreus [ref_mOTU_v2_1300]	Acidovorax ebreus 	ref_mOTU_v2_1300	0	0	1	0	0
Acidovorax radicis [ref_mOTU_v2_1542]	Acidovorax radicis 	ref_mOTU_v2_1542	0	0	0	0	1
Acidovorax sp. JHL-3 [ref_mOTU_v2_2858]	Acidovorax sp. JHL-3 	ref_mOTU_v2_2858	1	0	0	0	0
Acidovorax sp. JHL-9 [ref_mOTU_v2_2859]	Acidovorax sp. JHL-9 	ref_mOTU_v2_2859	1	0	0	0	0
Acidovorax sp. KKS102 [ref_mOTU_v2_4070]	Acidovorax sp. KKS102 	ref_mOTU_v2_4070	1	0	0	0	0
Acidovorax sp. MR-S7 [ref_mOTU_v2_2843]	Acidovorax sp. MR-S7 	ref_mOTU_v2_2843	1	0	0	0	0
Acidovorax sp. NO-1 [ref_mOTU_v2_4385]	Acidovorax sp. NO-1 	ref_mOTU_v2_4385	1	0	0	0	0
Aciduliprofundum boonei [ref_mOTU_v2_4245]	Aciduliprofundum boonei 	ref_mOTU_v2_4245	1	0	0	0	0
Aciduliprofundum sp. MAR08-339 [ref_mOTU_v2_4762]	Aciduliprofundum sp. MAR08-339 	ref_mOTU_v2_4762	0	0	1	0	0
Acinetobacter baumannii [ref_mOTU_v2_0336]	Acinetobacter baumannii 	ref_mOTU_v2_0336	1	0	0	0	0
Acinetobacter baumannii [ref_mOTU_v2_0824]	Acinetobacter baumannii 	ref_mOTU_v2_0824	0	0	0	0	1
Acinetobacter baumannii/nosocomialis [ref_mOTU_v2_0257]	Acinetobacter baumannii/nosocomialis 	ref_mOTU_v2_0257	1	0	0	0	0
Acinetobacter beijerinckii [ref_mOTU_v2_0811]	Acinetobacter beijerinckii 	ref_mOTU_v2_0811	0	0	0	0	1
Acinetobacter bereziniae [ref_mOTU_v2_0254]	Acinetobacter bereziniae 	ref_mOTU_v2_0254	0	0	0	0	1
Acinetobacter bohemicus [ref_mOTU_v2_2575]	Acinetobacter bohemicus 	ref_mOTU_v2_2575	0	0	0	0	1
Acinetobacter bouvetii [ref_mOTU_v2_0436]	Acinetobacter bouvetii 	ref_mOTU_v2_0436	0	0	0	0	1
Acinetobacter brisouii [ref_mOTU_v2_0812]	Acinetobacter brisouii 	ref_mOTU_v2_0812	0	0	0	0	1
Acinetobacter calcoaceticus/oleivorans [ref_mOTU_v2_0813]	Acinetobacter calcoaceticus/oleivorans 	ref_mOTU_v2_0813	0	0	0	0	1
Acinetobacter gerneri [ref_mOTU_v2_0437]	Acinetobacter gerneri 	ref_mOTU_v2_0437	0	0	0	0	1
Acinetobacter guillouiae [ref_mOTU_v2_0814]	Acinetobacter guillouiae 	ref_mOTU_v2_0814	0	0	0	0	1
Acinetobacter guillouiae/lwoffii [ref_mOTU_v2_0255]	Acinetobacter guillouiae/lwoffii 	ref_mOTU_v2_0255	0	0	0	0	1
Acinetobacter gyllenbergii [ref_mOTU_v2_0815]	Acinetobacter gyllenbergii 	ref_mOTU_v2_0815	0	0	0	0	1
Acinetobacter haemolyticus [ref_mOTU_v2_0817]	Acinetobacter haemolyticus 	ref_mOTU_v2_0817	0	0	0	0	1
Acinetobacter indicus [ref_mOTU_v2_0620]	Acinetobacter indicus 	ref_mOTU_v2_0620	0	0	0	0	1
Acinetobacter johnsonii/lwoffii [ref_mOTU_v2_0197]	Acinetobacter johnsonii/lwoffii 	ref_mOTU_v2_0197	1	0	0	0	0
Acinetobacter junii [ref_mOTU_v2_0818]	Acinetobacter junii 	ref_mOTU_v2_0818	0	0	0	0	1
Acinetobacter lwoffii [ref_mOTU_v2_0829]	Acinetobacter lwoffii 	ref_mOTU_v2_0829	0	0	0	0	1
Acinetobacter nectaris [ref_mOTU_v2_3228]	Acinetobacter nectaris 	ref_mOTU_v2_3228	0	0	0	0	1
Acinetobacter parvus [ref_mOTU_v2_0619]	Acinetobacter parvus 	ref_mOTU_v2_0619	0	0	0	0	1
Acinetobacter radioresistens [ref_mOTU_v2_0819]	Acinetobacter radioresistens 	ref_mOTU_v2_0819	0	0	0	0	1
Acinetobacter rudis [ref_mOTU_v2_4226]	Acinetobacter rudis 	ref_mOTU_v2_4226	0	0	0	0	1
Acinetobacter schindleri [ref_mOTU_v2_0618]	Acinetobacter schindleri 	ref_mOTU_v2_0618	0	0	0	0	1
Acinetobacter seifertii [ref_mOTU_v2_0256]	Acinetobacter seifertii 	ref_mOTU_v2_0256	0	0	0	0	1
Acinetobacter soli [ref_mOTU_v2_0820]	Acinetobacter soli 	ref_mOTU_v2_0820	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0318]	Acinetobacter sp. 	ref_mOTU_v2_0318	1	0	0	0	0
Acinetobacter sp. [ref_mOTU_v2_0621]	Acinetobacter sp. 	ref_mOTU_v2_0621	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0821]	Acinetobacter sp. 	ref_mOTU_v2_0821	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0822]	Acinetobacter sp. 	ref_mOTU_v2_0822	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0823]	Acinetobacter sp. 	ref_mOTU_v2_0823	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0825]	Acinetobacter sp. 	ref_mOTU_v2_0825	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0826]	Acinetobacter sp. 	ref_mOTU_v2_0826	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0827]	Acinetobacter sp. 	ref_mOTU_v2_0827	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_0828]	Acinetobacter sp. 	ref_mOTU_v2_0828	0	0	0	0	1
Acinetobacter sp. [ref_mOTU_v2_4301]	Acinetobacter sp. 	ref_mOTU_v2_4301	0	0	0	0	1
Acinetobacter sp. ADP1 [ref_mOTU_v2_0435]	Acinetobacter sp. ADP1 	ref_mOTU_v2_0435	0	0	0	0	1
Acinetobacter sp. ANC 3789 [ref_mOTU_v2_2574]	Acinetobacter sp. ANC 3789 	ref_mOTU_v2_2574	0	0	0	0	1
Acinetobacter sp. HR7 [ref_mOTU_v2_3614]	Acinetobacter sp. HR7 	ref_mOTU_v2_3614	0	0	0	0	1
Acinetobacter sp. MDS7A [ref_mOTU_v2_2543]	Acinetobacter sp. MDS7A 	ref_mOTU_v2_2543	0	0	0	0	1
Acinetobacter sp. NIPH 809 [ref_mOTU_v2_0816]	Acinetobacter sp. NIPH 809 	ref_mOTU_v2_0816	0	0	0	0	1
Acinetobacter sp. P8-3-8 [ref_mOTU_v2_1585]	Acinetobacter sp. P8-3-8 	ref_mOTU_v2_1585	0	0	0	0	1
Acinetobacter tandoii [ref_mOTU_v2_0438]	Acinetobacter tandoii 	ref_mOTU_v2_0438	0	0	0	0	1
Acinetobacter tjernbergiae [ref_mOTU_v2_0439]	Acinetobacter tjernbergiae 	ref_mOTU_v2_0439	0	0	0	0	1
Acinetobacter towneri [ref_mOTU_v2_0440]	Acinetobacter towneri 	ref_mOTU_v2_0440	0	0	0	0	1
Acinetobacter ursingii [ref_mOTU_v2_0830]	Acinetobacter ursingii 	ref_mOTU_v2_0830	0	0	0	0	1
Acinetobacter venetianus [ref_mOTU_v2_0270]	Acinetobacter venetianus 	ref_mOTU_v2_0270	0	0	0	0	1
Actibacterium atlanticum [ref_mOTU_v2_3505]	Actibacterium atlanticum 	ref_mOTU_v2_3505	0	0	0	0	0
Actibacterium mucosum [ref_mOTU_v2_3488]	Actibacterium mucosum 	ref_mOTU_v2_3488	0	0	0	0	1
Actinoalloteichus cyanogriseus [ref_mOTU_v2_0441]	Actinoalloteichus cyanogriseus 	ref_mOTU_v2_0441	0	0	0	0	1
Actinobacillus capsulatus [ref_mOTU_v2_1834]	Actinobacillus capsulatus 	ref_mOTU_v2_1834	0	0	1	0	0
Actinobacillus minor [ref_mOTU_v2_1452]	Actinobacillus minor 	ref_mOTU_v2_1452	0	0	0	0	0
Actinobacillus minor [ref_mOTU_v2_1453]	Actinobacillus minor 	ref_mOTU_v2_1453	0	0	0	0	0
Actinobacillus pleuropneumoniae [ref_mOTU_v2_0851]	Actinobacillus pleuropneumoniae 	ref_mOTU_v2_0851	1	0	0	0	0
Actinobacillus succinogenes [ref_mOTU_v2_4037]	Actinobacillus succinogenes 	ref_mOTU_v2_4037	0	0	1	0	0
Actinobacillus suis [ref_mOTU_v2_1486]	Actinobacillus suis 	ref_mOTU_v2_1486	0	0	1	0	0
Actinobacillus ureae [ref_mOTU_v2_5101]	Actinobacillus ureae 	ref_mOTU_v2_5101	0	0	0	0	1
Actinobacteria bacterium IMCC26207 [meta_mOTU_v2_6809]	Actinobacteria bacterium IMCC26207 	meta_mOTU_v2_6809	#N/A	#N/A	#N/A	#N/A	#N/A
Actinobacteria sp. [ref_mOTU_v2_1035]	Actinobacteria sp. 	ref_mOTU_v2_1035	0	0	1	0	0
Actinobacteria sp. [ref_mOTU_v2_1071]	Actinobacteria sp. 	ref_mOTU_v2_1071	0	0	0	0	1
Actinobacteria sp. [ref_mOTU_v2_1221]	Actinobacteria sp. 	ref_mOTU_v2_1221	0	0	1	0	0
actinobacterium acAMD-5 [ref_mOTU_v2_3605]	actinobacterium acAMD-5 	ref_mOTU_v2_3605	0	0	0	0	1
actinobacterium acMicro-1 [ref_mOTU_v2_3602]	actinobacterium acMicro-1 	ref_mOTU_v2_3602	0	0	0	0	1
actinobacterium acMicro-4 [ref_mOTU_v2_3603]	actinobacterium acMicro-4 	ref_mOTU_v2_3603	0	0	0	0	1
actinobacterium LLX17 [ref_mOTU_v2_2647]	actinobacterium LLX17 	ref_mOTU_v2_2647	0	0	1	0	0
actinobacterium SCGC AAA024-D14 [ref_mOTU_v2_5188]	actinobacterium SCGC AAA024-D14 	ref_mOTU_v2_5188	0	0	1	0	0
actinobacterium SCGC AAA027-J17 [ref_mOTU_v2_5189]	actinobacterium SCGC AAA027-J17 	ref_mOTU_v2_5189	0	0	1	0	0
actinobacterium SCGC AAA028-A23 [ref_mOTU_v2_1529]	actinobacterium SCGC AAA028-A23 	ref_mOTU_v2_1529	0	0	1	0	0
actinobacterium SCGC AAA044-D11 [ref_mOTU_v2_5218]	actinobacterium SCGC AAA044-D11 	ref_mOTU_v2_5218	0	0	1	0	0
actinobacterium SCGC AAA278-O22 [ref_mOTU_v2_5190]	actinobacterium SCGC AAA278-O22 	ref_mOTU_v2_5190	0	0	1	0	0
Actinobaculum massiliense [ref_mOTU_v2_5083]	Actinobaculum massiliense 	ref_mOTU_v2_5083	1	0	0	0	1
Actinobaculum sp. [ref_mOTU_v2_2618]	Actinobaculum sp. 	ref_mOTU_v2_2618	1	0	0	0	1
Actinocatenispora sera [ref_mOTU_v2_4132]	Actinocatenispora sera 	ref_mOTU_v2_4132	0	0	0	0	1
Actinokineospora enzanensis [ref_mOTU_v2_1836]	Actinokineospora enzanensis 	ref_mOTU_v2_1836	0	0	0	0	1
Actinokineospora spheciospongiae [ref_mOTU_v2_5135]	Actinokineospora spheciospongiae 	ref_mOTU_v2_5135	0	0	0	0	1
Actinomadura atramentaria [ref_mOTU_v2_1837]	Actinomadura atramentaria 	ref_mOTU_v2_1837	0	0	0	0	1
Actinomadura flavalba [ref_mOTU_v2_4507]	Actinomadura flavalba 	ref_mOTU_v2_4507	0	0	0	0	1
Actinomadura madurae [ref_mOTU_v2_3232]	Actinomadura madurae 	ref_mOTU_v2_3232	0	0	0	0	1
Actinomyces cardiffensis [ref_mOTU_v2_5104]	Actinomyces cardiffensis 	ref_mOTU_v2_5104	0	0	1	0	0
Actinomyces coleocanis [ref_mOTU_v2_4418]	Actinomyces coleocanis 	ref_mOTU_v2_4418	0	0	1	0	0
Actinomyces dentalis [ref_mOTU_v2_1838]	Actinomyces dentalis 	ref_mOTU_v2_1838	1	0	0	0	0
Actinomyces europaeus [ref_mOTU_v2_5085]	Actinomyces europaeus 	ref_mOTU_v2_5085	0	0	1	0	0
Actinomyces georgiae [ref_mOTU_v2_0443]	Actinomyces georgiae 	ref_mOTU_v2_0443	0	0	1	0	0
Actinomyces graevenitzii [ref_mOTU_v2_1056]	Actinomyces graevenitzii 	ref_mOTU_v2_1056	0	0	1	0	0
Actinomyces israelii [ref_mOTU_v2_1839]	Actinomyces israelii 	ref_mOTU_v2_1839	1	0	0	0	0
Actinomyces johnsonii [ref_mOTU_v2_1057]	Actinomyces johnsonii 	ref_mOTU_v2_1057	0	0	1	0	0
Actinomyces massiliensis [ref_mOTU_v2_0548]	Actinomyces massiliensis 	ref_mOTU_v2_0548	0	0	1	0	0
Actinomyces naeslundii [ref_mOTU_v2_1808]	Actinomyces naeslundii 	ref_mOTU_v2_1808	0	0	1	0	0
Actinomyces neuii [ref_mOTU_v2_1840]	Actinomyces neuii 	ref_mOTU_v2_1840	0	0	1	0	0
Actinomyces neuii [ref_mOTU_v2_5111]	Actinomyces neuii 	ref_mOTU_v2_5111	0	0	1	0	0
Actinomyces odontolyticus [ref_mOTU_v2_0375]	Actinomyces odontolyticus 	ref_mOTU_v2_0375	0	0	1	0	0
Actinomyces slackii [ref_mOTU_v2_2863]	Actinomyces slackii 	ref_mOTU_v2_2863	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_0377]	Actinomyces sp. 	ref_mOTU_v2_0377	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_0430]	Actinomyces sp. 	ref_mOTU_v2_0430	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_1445]	Actinomyces sp. 	ref_mOTU_v2_1445	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_4705]	Actinomyces sp. 	ref_mOTU_v2_4705	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_4941]	Actinomyces sp. 	ref_mOTU_v2_4941	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_5105]	Actinomyces sp. 	ref_mOTU_v2_5105	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_5106]	Actinomyces sp. 	ref_mOTU_v2_5106	0	0	1	0	0
Actinomyces sp. [ref_mOTU_v2_5209]	Actinomyces sp. 	ref_mOTU_v2_5209	0	0	1	0	0
Actinomyces sp. HPA0247 [ref_mOTU_v2_2506]	Actinomyces sp. HPA0247 	ref_mOTU_v2_2506	0	0	1	0	0
Actinomyces sp. ICM39 [ref_mOTU_v2_0376]	Actinomyces sp. ICM39 	ref_mOTU_v2_0376	0	0	1	0	0
Actinomyces sp. S4-C9 [ref_mOTU_v2_2596]	Actinomyces sp. S4-C9 	ref_mOTU_v2_2596	0	0	1	0	0
Actinomyces sp. S6-Spd3 [ref_mOTU_v2_2919]	Actinomyces sp. S6-Spd3 	ref_mOTU_v2_2919	0	0	1	0	0
Actinomyces suimastitidis [ref_mOTU_v2_1841]	Actinomyces suimastitidis 	ref_mOTU_v2_1841	0	0	1	0	0
Actinomyces timonensis [ref_mOTU_v2_4406]	Actinomyces timonensis 	ref_mOTU_v2_4406	0	0	1	0	0
Actinomyces turicensis [ref_mOTU_v2_5086]	Actinomyces turicensis 	ref_mOTU_v2_5086	0	0	1	0	0
Actinomyces urogenitalis [ref_mOTU_v2_0989]	Actinomyces urogenitalis 	ref_mOTU_v2_0989	0	0	1	0	0
Actinomyces vaccimaxillae [ref_mOTU_v2_1842]	Actinomyces vaccimaxillae 	ref_mOTU_v2_1842	0	0	1	0	0
Actinomyces viscosus [ref_mOTU_v2_1444]	Actinomyces viscosus 	ref_mOTU_v2_1444	1	0	0	0	0
Actinomycetospora chiangmaiensis [ref_mOTU_v2_1843]	Actinomycetospora chiangmaiensis 	ref_mOTU_v2_1843	0	0	0	0	1
Actinoplanes friuliensis [ref_mOTU_v2_2774]	Actinoplanes friuliensis 	ref_mOTU_v2_2774	0	0	0	0	1
Actinoplanes globisporus [ref_mOTU_v2_1844]	Actinoplanes globisporus 	ref_mOTU_v2_1844	0	0	0	0	1
Actinoplanes missouriensis [ref_mOTU_v2_4387]	Actinoplanes missouriensis 	ref_mOTU_v2_4387	0	0	0	0	1
Actinoplanes sp. N902-109 [ref_mOTU_v2_4708]	Actinoplanes sp. N902-109 	ref_mOTU_v2_4708	0	0	0	0	1
Actinoplanes sp. SE50/110 [ref_mOTU_v2_3106]	Actinoplanes sp. SE50/110 	ref_mOTU_v2_3106	0	0	0	0	1
Actinoplanes subtropicus [ref_mOTU_v2_4452]	Actinoplanes subtropicus 	ref_mOTU_v2_4452	0	0	0	0	1
Actinoplanes utahensis [ref_mOTU_v2_3725]	Actinoplanes utahensis 	ref_mOTU_v2_3725	0	0	0	0	1
Actinopolymorpha alba [ref_mOTU_v2_1845]	Actinopolymorpha alba 	ref_mOTU_v2_1845	0	0	0	0	1
Actinopolyspora erythraea [ref_mOTU_v2_4219]	Actinopolyspora erythraea 	ref_mOTU_v2_4219	0	0	0	0	1
Actinopolyspora halophila [ref_mOTU_v2_1730]	Actinopolyspora halophila 	ref_mOTU_v2_1730	0	0	0	0	1
Actinopolyspora mortivallis [ref_mOTU_v2_1668]	Actinopolyspora mortivallis 	ref_mOTU_v2_1668	0	0	0	0	1
Actinosporangium sp. [ref_mOTU_v2_3509]	Actinosporangium sp. 	ref_mOTU_v2_3509	0	0	0	0	0
Actinosynnema mirum [ref_mOTU_v2_4270]	Actinosynnema mirum 	ref_mOTU_v2_4270	0	0	0	0	0
Actinotignum schaalii [ref_mOTU_v2_0442]	Actinotignum schaalii 	ref_mOTU_v2_0442	0	0	1	0	0
Actinotignum schaalii [ref_mOTU_v2_5084]	Actinotignum schaalii 	ref_mOTU_v2_5084	0	0	1	0	0
Actinotignum urinale [ref_mOTU_v2_1835]	Actinotignum urinale 	ref_mOTU_v2_1835	0	0	1	0	0
Adhaeribacter aquaticus [ref_mOTU_v2_5154]	Adhaeribacter aquaticus 	ref_mOTU_v2_5154	0	0	0	0	1
Adlercreutzia equolifaciens [ref_mOTU_v2_3198]	Adlercreutzia equolifaciens 	ref_mOTU_v2_3198	1	0	0	0	0
Advenella kashmirensis [ref_mOTU_v2_3395]	Advenella kashmirensis 	ref_mOTU_v2_3395	0	0	0	0	1
Advenella mimigardefordensis [ref_mOTU_v2_2777]	Advenella mimigardefordensis 	ref_mOTU_v2_2777	0	0	0	0	1
Aequorivita capsosiphonis [ref_mOTU_v2_1846]	Aequorivita capsosiphonis 	ref_mOTU_v2_1846	0	0	0	0	1
Aequorivita sublithincola [ref_mOTU_v2_4907]	Aequorivita sublithincola 	ref_mOTU_v2_4907	0	0	0	0	1
Aerococcus christensenii [meta_mOTU_v2_6445]	Aerococcus christensenii 	meta_mOTU_v2_6445	#N/A	#N/A	#N/A	#N/A	#N/A
Aerococcus urinae [ref_mOTU_v2_5036]	Aerococcus urinae 	ref_mOTU_v2_5036	1	0	0	0	0
Aerococcus urinaeequi/viridans [ref_mOTU_v2_0444]	Aerococcus urinaeequi/viridans 	ref_mOTU_v2_0444	0	0	1	0	0
