mOTU_ID,mOTU_name
ref_mOTU_v2_4070,Acidovorax sp. KKS102 [ref_mOTU_v2_4070]
ref_mOTU_v2_2843,Acidovorax sp. MR-S7 [ref_mOTU_v2_2843]
ref_mOTU_v2_4385,Acidovorax sp. NO-1 [ref_mOTU_v2_4385]
ref_mOTU_v2_4245,Aciduliprofundum boonei [ref_mOTU_v2_4245]
ref_mOTU_v2_4762,Aciduliprofundum sp. MAR08-339 [ref_mOTU_v2_4762]
ref_mOTU_v2_0336,Acinetobacter baumannii [ref_mOTU_v2_0336]
ref_mOTU_v2_0824,Acinetobacter baumannii [ref_mOTU_v2_0824]
ref_mOTU_v2_0257,Acinetobacter baumannii/nosocomialis [ref_mOTU_v2_0257]
ref_mOTU_v2_0811,Acinetobacter beijerinckii [ref_mOTU_v2_0811]
ref_mOTU_v2_0254,Acinetobacter bereziniae [ref_mOTU_v2_0254]
ref_mOTU_v2_2575,Acinetobacter bohemicus [ref_mOTU_v2_2575]
ref_mOTU_v2_0436,Acinetobacter bouvetii [ref_mOTU_v2_0436]
ref_mOTU_v2_0812,Acinetobacter brisouii [ref_mOTU_v2_0812]
ref_mOTU_v2_0813,Acinetobacter calcoaceticus/oleivorans [ref_mOTU_v2_0813]
ref_mOTU_v2_0437,Acinetobacter gerneri [ref_mOTU_v2_0437]
ref_mOTU_v2_0814,Acinetobacter guillouiae [ref_mOTU_v2_0814]
ref_mOTU_v2_0255,Acinetobacter guillouiae/lwoffii [ref_mOTU_v2_0255]
ref_mOTU_v2_0815,Acinetobacter gyllenbergii [ref_mOTU_v2_0815]
ref_mOTU_v2_0817,Acinetobacter haemolyticus [ref_mOTU_v2_0817]
ref_mOTU_v2_0620,Acinetobacter indicus [ref_mOTU_v2_0620]
ref_mOTU_v2_0197,Acinetobacter johnsonii/lwoffii [ref_mOTU_v2_0197]
ref_mOTU_v2_0818,Acinetobacter junii [ref_mOTU_v2_0818]
ref_mOTU_v2_0829,Acinetobacter lwoffii [ref_mOTU_v2_0829]
ref_mOTU_v2_3228,Acinetobacter nectaris [ref_mOTU_v2_3228]
ref_mOTU_v2_0619,Acinetobacter parvus [ref_mOTU_v2_0619]
ref_mOTU_v2_0819,Acinetobacter radioresistens [ref_mOTU_v2_0819]
ref_mOTU_v2_4226,Acinetobacter rudis [ref_mOTU_v2_4226]
ref_mOTU_v2_0618,Acinetobacter schindleri [ref_mOTU_v2_0618]
ref_mOTU_v2_0256,Acinetobacter seifertii [ref_mOTU_v2_0256]
ref_mOTU_v2_0820,Acinetobacter soli [ref_mOTU_v2_0820]
ref_mOTU_v2_0435,Acinetobacter sp. ADP1 [ref_mOTU_v2_0435]
ref_mOTU_v2_2574,Acinetobacter sp. ANC 3789 [ref_mOTU_v2_2574]
ref_mOTU_v2_3614,Acinetobacter sp. HR7 [ref_mOTU_v2_3614]
ref_mOTU_v2_2543,Acinetobacter sp. MDS7A [ref_mOTU_v2_2543]
ref_mOTU_v2_0816,Acinetobacter sp. NIPH 809 [ref_mOTU_v2_0816]
ref_mOTU_v2_1585,Acinetobacter sp. P8-3-8 [ref_mOTU_v2_1585]
ref_mOTU_v2_0318,Acinetobacter sp. [ref_mOTU_v2_0318]
ref_mOTU_v2_0621,Acinetobacter sp. [ref_mOTU_v2_0621]
ref_mOTU_v2_0821,Acinetobacter sp. [ref_mOTU_v2_0821]
ref_mOTU_v2_0822,Acinetobacter sp. [ref_mOTU_v2_0822]
ref_mOTU_v2_0823,Acinetobacter sp. [ref_mOTU_v2_0823]
ref_mOTU_v2_0825,Acinetobacter sp. [ref_mOTU_v2_0825]
ref_mOTU_v2_0826,Acinetobacter sp. [ref_mOTU_v2_0826]
ref_mOTU_v2_0827,Acinetobacter sp. [ref_mOTU_v2_0827]
ref_mOTU_v2_0828,Acinetobacter sp. [ref_mOTU_v2_0828]
ref_mOTU_v2_4301,Acinetobacter sp. [ref_mOTU_v2_4301]
ref_mOTU_v2_0438,Acinetobacter tandoii [ref_mOTU_v2_0438]
ref_mOTU_v2_0439,Acinetobacter tjernbergiae [ref_mOTU_v2_0439]
ref_mOTU_v2_0440,Acinetobacter towneri [ref_mOTU_v2_0440]
ref_mOTU_v2_0830,Acinetobacter ursingii [ref_mOTU_v2_0830]
ref_mOTU_v2_0270,Acinetobacter venetianus [ref_mOTU_v2_0270]
ref_mOTU_v2_3505,Actibacterium atlanticum [ref_mOTU_v2_3505]
ref_mOTU_v2_3488,Actibacterium mucosum [ref_mOTU_v2_3488]
ref_mOTU_v2_0441,Actinoalloteichus cyanogriseus [ref_mOTU_v2_0441]
ref_mOTU_v2_1834,Actinobacillus capsulatus [ref_mOTU_v2_1834]
ref_mOTU_v2_1452,Actinobacillus minor [ref_mOTU_v2_1452]
ref_mOTU_v2_1453,Actinobacillus minor [ref_mOTU_v2_1453]
ref_mOTU_v2_0851,Actinobacillus pleuropneumoniae [ref_mOTU_v2_0851]
ref_mOTU_v2_4037,Actinobacillus succinogenes [ref_mOTU_v2_4037]
ref_mOTU_v2_1486,Actinobacillus suis [ref_mOTU_v2_1486]
ref_mOTU_v2_5101,Actinobacillus ureae [ref_mOTU_v2_5101]
meta_mOTU_v2_6809,Actinobacteria bacterium IMCC26207 [meta_mOTU_v2_6809]
ref_mOTU_v2_1035,Actinobacteria sp. [ref_mOTU_v2_1035]
ref_mOTU_v2_1071,Actinobacteria sp. [ref_mOTU_v2_1071]
ref_mOTU_v2_1221,Actinobacteria sp. [ref_mOTU_v2_1221]
ref_mOTU_v2_5083,Actinobaculum massiliense [ref_mOTU_v2_5083]
ref_mOTU_v2_2618,Actinobaculum sp. [ref_mOTU_v2_2618]
ref_mOTU_v2_4132,Actinocatenispora sera [ref_mOTU_v2_4132]
ref_mOTU_v2_1836,Actinokineospora enzanensis [ref_mOTU_v2_1836]
ref_mOTU_v2_5135,Actinokineospora spheciospongiae [ref_mOTU_v2_5135]
ref_mOTU_v2_1837,Actinomadura atramentaria [ref_mOTU_v2_1837]
ref_mOTU_v2_4507,Actinomadura flavalba [ref_mOTU_v2_4507]
ref_mOTU_v2_3232,Actinomadura madurae [ref_mOTU_v2_3232]
ref_mOTU_v2_5104,Actinomyces cardiffensis [ref_mOTU_v2_5104]
ref_mOTU_v2_4418,Actinomyces coleocanis [ref_mOTU_v2_4418]
ref_mOTU_v2_1838,Actinomyces dentalis [ref_mOTU_v2_1838]
ref_mOTU_v2_5085,Actinomyces europaeus [ref_mOTU_v2_5085]
ref_mOTU_v2_0443,Actinomyces georgiae [ref_mOTU_v2_0443]
ref_mOTU_v2_1056,Actinomyces graevenitzii [ref_mOTU_v2_1056]
ref_mOTU_v2_1839,Actinomyces israelii [ref_mOTU_v2_1839]
ref_mOTU_v2_1057,Actinomyces johnsonii [ref_mOTU_v2_1057]
ref_mOTU_v2_0548,Actinomyces massiliensis [ref_mOTU_v2_0548]
ref_mOTU_v2_1808,Actinomyces naeslundii [ref_mOTU_v2_1808]
ref_mOTU_v2_1840,Actinomyces neuii [ref_mOTU_v2_1840]
ref_mOTU_v2_5111,Actinomyces neuii [ref_mOTU_v2_5111]
ref_mOTU_v2_0375,Actinomyces odontolyticus [ref_mOTU_v2_0375]
ref_mOTU_v2_2863,Actinomyces slackii [ref_mOTU_v2_2863]
ref_mOTU_v2_2506,Actinomyces sp. HPA0247 [ref_mOTU_v2_2506]
ref_mOTU_v2_0376,Actinomyces sp. ICM39 [ref_mOTU_v2_0376]
ref_mOTU_v2_2596,Actinomyces sp. S4-C9 [ref_mOTU_v2_2596]
ref_mOTU_v2_2919,Actinomyces sp. S6-Spd3 [ref_mOTU_v2_2919]
ref_mOTU_v2_0377,Actinomyces sp. [ref_mOTU_v2_0377]
ref_mOTU_v2_0430,Actinomyces sp. [ref_mOTU_v2_0430]
ref_mOTU_v2_1445,Actinomyces sp. [ref_mOTU_v2_1445]
ref_mOTU_v2_4705,Actinomyces sp. [ref_mOTU_v2_4705]
ref_mOTU_v2_4941,Actinomyces sp. [ref_mOTU_v2_4941]
ref_mOTU_v2_5105,Actinomyces sp. [ref_mOTU_v2_5105]
ref_mOTU_v2_5106,Actinomyces sp. [ref_mOTU_v2_5106]
ref_mOTU_v2_5209,Actinomyces sp. [ref_mOTU_v2_5209]
ref_mOTU_v2_1841,Actinomyces suimastitidis [ref_mOTU_v2_1841]
ref_mOTU_v2_4406,Actinomyces timonensis [ref_mOTU_v2_4406]
ref_mOTU_v2_5086,Actinomyces turicensis [ref_mOTU_v2_5086]
ref_mOTU_v2_0989,Actinomyces urogenitalis [ref_mOTU_v2_0989]
ref_mOTU_v2_1842,Actinomyces vaccimaxillae [ref_mOTU_v2_1842]
ref_mOTU_v2_1444,Actinomyces viscosus [ref_mOTU_v2_1444]
ref_mOTU_v2_1843,Actinomycetospora chiangmaiensis [ref_mOTU_v2_1843]
ref_mOTU_v2_2774,Actinoplanes friuliensis [ref_mOTU_v2_2774]
ref_mOTU_v2_1844,Actinoplanes globisporus [ref_mOTU_v2_1844]
ref_mOTU_v2_4387,Actinoplanes missouriensis [ref_mOTU_v2_4387]
ref_mOTU_v2_4708,Actinoplanes sp. N902-109 [ref_mOTU_v2_4708]
ref_mOTU_v2_3106,Actinoplanes sp. SE50/110 [ref_mOTU_v2_3106]
ref_mOTU_v2_4452,Actinoplanes subtropicus [ref_mOTU_v2_4452]
ref_mOTU_v2_3725,Actinoplanes utahensis [ref_mOTU_v2_3725]
ref_mOTU_v2_1845,Actinopolymorpha alba [ref_mOTU_v2_1845]
ref_mOTU_v2_4219,Actinopolyspora erythraea [ref_mOTU_v2_4219]
ref_mOTU_v2_1730,Actinopolyspora halophila [ref_mOTU_v2_1730]
ref_mOTU_v2_1668,Actinopolyspora mortivallis [ref_mOTU_v2_1668]
ref_mOTU_v2_3509,Actinosporangium sp. [ref_mOTU_v2_3509]
ref_mOTU_v2_4270,Actinosynnema mirum [ref_mOTU_v2_4270]
ref_mOTU_v2_0442,Actinotignum schaalii [ref_mOTU_v2_0442]
ref_mOTU_v2_5084,Actinotignum schaalii [ref_mOTU_v2_5084]
ref_mOTU_v2_1835,Actinotignum urinale [ref_mOTU_v2_1835]
ref_mOTU_v2_5154,Adhaeribacter aquaticus [ref_mOTU_v2_5154]
ref_mOTU_v2_3198,Adlercreutzia equolifaciens [ref_mOTU_v2_3198]
ref_mOTU_v2_3395,Advenella kashmirensis [ref_mOTU_v2_3395]
ref_mOTU_v2_2777,Advenella mimigardefordensis [ref_mOTU_v2_2777]
ref_mOTU_v2_1846,Aequorivita capsosiphonis [ref_mOTU_v2_1846]
ref_mOTU_v2_4907,Aequorivita sublithincola [ref_mOTU_v2_4907]
meta_mOTU_v2_6445,Aerococcus christensenii [meta_mOTU_v2_6445]
ref_mOTU_v2_5036,Aerococcus urinae [ref_mOTU_v2_5036]
ref_mOTU_v2_0444,Aerococcus urinaeequi/viridans [ref_mOTU_v2_0444]
ref_mOTU_v2_4581,Aeromicrobium marinum [ref_mOTU_v2_4581]
ref_mOTU_v2_1592,Aeromicrobium massiliense [ref_mOTU_v2_1592]
ref_mOTU_v2_1203,Aeromonas caviae [ref_mOTU_v2_1203]
ref_mOTU_v2_2840,Aeromonas diversa [ref_mOTU_v2_2840]
ref_mOTU_v2_0282,Aeromonas hydrophila [ref_mOTU_v2_0282]
ref_mOTU_v2_0283,Aeromonas hydrophila [ref_mOTU_v2_0283]
ref_mOTU_v2_0788,Aeromonas hydrophila/media [ref_mOTU_v2_0788]
ref_mOTU_v2_0284,Aeromonas lacus/jandaei [ref_mOTU_v2_0284]
ref_mOTU_v2_0809,Aeromonas salmonicida [ref_mOTU_v2_0809]
ref_mOTU_v2_4693,Aeromonas salmonicida [ref_mOTU_v2_4693]
ref_mOTU_v2_4651,Aeromonas taiwanensis [ref_mOTU_v2_4651]
ref_mOTU_v2_0285,Aeromonas veronii [ref_mOTU_v2_0285]
ref_mOTU_v2_2486,Aeropyrum camini [ref_mOTU_v2_2486]
ref_mOTU_v2_3867,Aeropyrum pernix [ref_mOTU_v2_3867]
ref_mOTU_v2_1847,Aestuariibacter salexigens [ref_mOTU_v2_1847]
ref_mOTU_v2_1848,Aestuariimicrobium kwangyangense [ref_mOTU_v2_1848]
ref_mOTU_v2_1849,Afifella pfennigii [ref_mOTU_v2_1849]
ref_mOTU_v2_2484,Afipia birgiae [ref_mOTU_v2_2484]
ref_mOTU_v2_1051,Afipia broomeae [ref_mOTU_v2_1051]
ref_mOTU_v2_1495,Afipia clevelandensis [ref_mOTU_v2_1495]
ref_mOTU_v2_5087,Afipia felis [ref_mOTU_v2_5087]
ref_mOTU_v2_4742,Afipia sp. 1NLS2 [ref_mOTU_v2_4742]
ref_mOTU_v2_1010,Afipia sp. OHSU_I-C4 [ref_mOTU_v2_1010]
ref_mOTU_v2_3398,Afipia sp. P52-10 [ref_mOTU_v2_3398]
ref_mOTU_v2_3060,Agarivorans albus [ref_mOTU_v2_3060]
ref_mOTU_v2_0147,Aggregatibacter actinomycetemcomitans [ref_mOTU_v2_0147]
ref_mOTU_v2_0325,Aggregatibacter actinomycetemcomitans [ref_mOTU_v2_0325]
ref_mOTU_v2_1461,Aggregatibacter aphrophilus [ref_mOTU_v2_1461]
ref_mOTU_v2_5107,Aggregatibacter segnis [ref_mOTU_v2_5107]
ref_mOTU_v2_3038,Aggregatibacter sp. [ref_mOTU_v2_3038]
ref_mOTU_v2_2333,Agrobacterium albertimagni [ref_mOTU_v2_2333]
ref_mOTU_v2_1286,Agrobacterium fabrum [ref_mOTU_v2_1286]
ref_mOTU_v2_3082,Agrobacterium larrymoorei [ref_mOTU_v2_3082]
ref_mOTU_v2_4073,Agrobacterium rhizogenes [ref_mOTU_v2_4073]
ref_mOTU_v2_2602,Agrobacterium rubi [ref_mOTU_v2_2602]
ref_mOTU_v2_0313,Agrobacterium tumefaciens [ref_mOTU_v2_0313]
ref_mOTU_v2_0383,Agrobacterium tumefaciens [ref_mOTU_v2_0383]
ref_mOTU_v2_0876,Agrobacterium tumefaciens [ref_mOTU_v2_0876]
ref_mOTU_v2_1669,Agrobacterium tumefaciens [ref_mOTU_v2_1669]
ref_mOTU_v2_2905,Agrobacterium tumefaciens [ref_mOTU_v2_2905]
ref_mOTU_v2_4069,Agrobacterium tumefaciens [ref_mOTU_v2_4069]
ref_mOTU_v2_3929,Agrobacterium vitis [ref_mOTU_v2_3929]
ref_mOTU_v2_0445,Agrococcus lahaulensis/pavilionensis [ref_mOTU_v2_0445]
ref_mOTU_v2_1850,Agromyces italicus [ref_mOTU_v2_1850]
ref_mOTU_v2_1851,Agromyces subbeticus [ref_mOTU_v2_1851]
ref_mOTU_v2_3170,Ahrensia sp. 13_GOM-1096m [ref_mOTU_v2_3170]
ref_mOTU_v2_4897,Ahrensia sp. R2A130 [ref_mOTU_v2_4897]
ref_mOTU_v2_1301,Akkermansia muciniphila [ref_mOTU_v2_1301]
ref_mOTU_v2_0263,Alcaligenes faecalis [ref_mOTU_v2_0263]
ref_mOTU_v2_0264,Alcaligenes faecalis [ref_mOTU_v2_0264]
ref_mOTU_v2_2331,Alcaligenes faecalis [ref_mOTU_v2_2331]
ref_mOTU_v2_1177,Alcanivorax borkumensis [ref_mOTU_v2_1177]
ref_mOTU_v2_1107,Alcanivorax dieselolei [ref_mOTU_v2_1107]
ref_mOTU_v2_2411,Alcanivorax hongdengensis [ref_mOTU_v2_2411]
ref_mOTU_v2_2412,Alcanivorax jadensis [ref_mOTU_v2_2412]
ref_mOTU_v2_2410,Alcanivorax nanhaiticus [ref_mOTU_v2_2410]
ref_mOTU_v2_4155,Alcanivorax pacificus [ref_mOTU_v2_4155]
ref_mOTU_v2_3807,Alcanivorax sp. DG881 [ref_mOTU_v2_3807]
ref_mOTU_v2_3247,Alcanivorax sp. P2S70 [ref_mOTU_v2_3247]
ref_mOTU_v2_1106,Alcanivorax sp. [ref_mOTU_v2_1106]
ref_mOTU_v2_1298,Algibacter lectus [ref_mOTU_v2_1298]
ref_mOTU_v2_1852,Algicola sagamiensis [ref_mOTU_v2_1852]
ref_mOTU_v2_3366,Algiphilus aromaticivorans [ref_mOTU_v2_3366]
ref_mOTU_v2_4129,Algoriphagus machipongonensis [ref_mOTU_v2_4129]
ref_mOTU_v2_1853,Algoriphagus mannitolivorans [ref_mOTU_v2_1853]
ref_mOTU_v2_1854,Algoriphagus marincola [ref_mOTU_v2_1854]
ref_mOTU_v2_3010,Algoriphagus marincola [ref_mOTU_v2_3010]
ref_mOTU_v2_1855,Algoriphagus terrigena [ref_mOTU_v2_1855]
ref_mOTU_v2_1856,Algoriphagus vanfongensis [ref_mOTU_v2_1856]
ref_mOTU_v2_1857,Aliagarivorans taiwanensis [ref_mOTU_v2_1857]
ref_mOTU_v2_1455,Alicycliphilus denitrificans [ref_mOTU_v2_1455]
ref_mOTU_v2_1418,Alicyclobacillus acidocaldarius [ref_mOTU_v2_1418]
ref_mOTU_v2_1661,Alicyclobacillus acidocaldarius [ref_mOTU_v2_1661]
ref_mOTU_v2_3138,Alicyclobacillus acidoterrestris [ref_mOTU_v2_3138]
ref_mOTU_v2_1858,Alicyclobacillus contaminans [ref_mOTU_v2_1858]
ref_mOTU_v2_1859,Alicyclobacillus herbarius [ref_mOTU_v2_1859]
ref_mOTU_v2_2489,Alicyclobacillus hesperidum [ref_mOTU_v2_2489]
ref_mOTU_v2_3186,Alicyclobacillus macrosporangiidus [ref_mOTU_v2_3186]
ref_mOTU_v2_1788,Alicyclobacillus pomorum [ref_mOTU_v2_1788]
ref_mOTU_v2_2242,Aliiglaciecola lipolytica [ref_mOTU_v2_2242]
ref_mOTU_v2_3182,Aliihoeflea sp. 2WW [ref_mOTU_v2_3182]
ref_mOTU_v2_0321,Aliivibrio fischeri [ref_mOTU_v2_0321]
ref_mOTU_v2_0962,Aliivibrio salmonicida/logei [ref_mOTU_v2_0962]
ref_mOTU_v2_0564,Alishewanella aestuarii/jeotgali [ref_mOTU_v2_0564]
ref_mOTU_v2_0565,Alishewanella agri [ref_mOTU_v2_0565]
ref_mOTU_v2_1481,Alistipes finegoldii [ref_mOTU_v2_1481]
ref_mOTU_v2_4879,Alistipes indistinctus [ref_mOTU_v2_4879]
ref_mOTU_v2_3597,Alistipes inops [ref_mOTU_v2_3597]
ref_mOTU_v2_1825,Alistipes obesi [ref_mOTU_v2_1825]
ref_mOTU_v2_0775,Alistipes onderdonkii [ref_mOTU_v2_0775]
ref_mOTU_v2_4266,Alistipes putredinis [ref_mOTU_v2_4266]
ref_mOTU_v2_1594,Alistipes senegalensis [ref_mOTU_v2_1594]
ref_mOTU_v2_4873,Alistipes shahii [ref_mOTU_v2_4873]
meta_mOTU_v2_6154,Alistipes sp. An31A [meta_mOTU_v2_6154]
meta_mOTU_v2_6227,Alistipes sp. CAG:831 [meta_mOTU_v2_6227]
meta_mOTU_v2_6356,Alistipes sp. CAG:831 [meta_mOTU_v2_6356]
meta_mOTU_v2_7041,Alistipes sp. CAG:831 [meta_mOTU_v2_7041]
ref_mOTU_v2_1593,Alistipes timonensis [ref_mOTU_v2_1593]
ref_mOTU_v2_2656,Alkalibacterium sp. AK22 [ref_mOTU_v2_2656]
ref_mOTU_v2_5169,Alkaliflexus imshenetskii [ref_mOTU_v2_5169]
ref_mOTU_v2_3726,Alkalilimnicola ehrlichii [ref_mOTU_v2_3726]
ref_mOTU_v2_3911,Alkaliphilus metalliredigens [ref_mOTU_v2_3911]
ref_mOTU_v2_4059,Alkaliphilus oremlandii [ref_mOTU_v2_4059]
ref_mOTU_v2_3300,Alkaliphilus transvaalensis [ref_mOTU_v2_3300]
ref_mOTU_v2_1861,Alkanindiges illinoisensis [ref_mOTU_v2_1861]
ref_mOTU_v2_1667,Allobaculum stercoricanis [ref_mOTU_v2_1667]
ref_mOTU_v2_4529,Allochromatium vinosum [ref_mOTU_v2_4529]
ref_mOTU_v2_1862,Allofustis seminis [ref_mOTU_v2_1862]
ref_mOTU_v2_5088,Alloiococcus otitis [ref_mOTU_v2_5088]
ref_mOTU_v2_3768,Allokutzneria albata [ref_mOTU_v2_3768]
ref_mOTU_v2_4774,Alloprevotella rava [ref_mOTU_v2_4774]
ref_mOTU_v2_4636,Alloprevotella tannerae [ref_mOTU_v2_4636]
ref_mOTU_v2_2059,Alloscardovia criceti [ref_mOTU_v2_2059]
ref_mOTU_v2_0446,Alloscardovia omnicolens [ref_mOTU_v2_0446]
ref_mOTU_v2_0553,Alteromonadaceae sp. [ref_mOTU_v2_0553]
ref_mOTU_v2_0422,Alteromonadales sp. [ref_mOTU_v2_0422]
ref_mOTU_v2_4587,Alteromonas australica [ref_mOTU_v2_4587]
ref_mOTU_v2_0060,Alteromonas macleodii [ref_mOTU_v2_0060]
ref_mOTU_v2_1556,Alteromonas macleodii [ref_mOTU_v2_1556]
ref_mOTU_v2_0059,Alteromonas mediterranea [ref_mOTU_v2_0059]
ref_mOTU_v2_4863,Alteromonas naphthalenivorans [ref_mOTU_v2_4863]
ref_mOTU_v2_2979,Alteromonas sp. ALT199 [ref_mOTU_v2_2979]
ref_mOTU_v2_1273,Alteromonas sp. LOR [ref_mOTU_v2_1273]
ref_mOTU_v2_2605,Altibacter lentus [ref_mOTU_v2_2605]
ref_mOTU_v2_1863,Alysiella crassa [ref_mOTU_v2_1863]
ref_mOTU_v2_0203,Aminicenantes sp. [ref_mOTU_v2_0203]
ref_mOTU_v2_3000,Aminiphilus circumscriptus [ref_mOTU_v2_3000]
ref_mOTU_v2_5196,Aminobacter sp. J41 [ref_mOTU_v2_5196]
ref_mOTU_v2_4535,Aminobacterium colombiense [ref_mOTU_v2_4535]
ref_mOTU_v2_3001,Aminobacterium mobile [ref_mOTU_v2_3001]
ref_mOTU_v2_4570,Aminomonas paucivorans [ref_mOTU_v2_4570]
ref_mOTU_v2_4237,Ammonifex degensii [ref_mOTU_v2_4237]
ref_mOTU_v2_1864,Amorphus coralli [ref_mOTU_v2_1864]
ref_mOTU_v2_4510,Amphibacillus jilinensis [ref_mOTU_v2_4510]
ref_mOTU_v2_4828,Amphibacillus xylanus [ref_mOTU_v2_4828]
